Superficie,Produccion,Riego,Autoconsumo,Venta,Semilla_criolla,Semilla_mejorada,Fertilizantes,Animales_tiro,Herbicidas,Insecticidas_fungicidas,Indigena,Tractor,Otra_maquinaria,Rendimiento,Indice
0.157,0.075,0,1,0,0,0,0,0,0,0,0,0,0,0.477707006,0
0.157,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0.477707006,0
0.1884,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.628,0.8,0,1,0,1,0,1,0,0,0,0,0,0,1.27388535,0.083333333
0.2512,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.597133758,0
0.1884,0.2,0,1,0,0,0,0,0,0,0,0,0,0,1.061571125,0
0.314,0.5,0,1,0,1,0,1,0,0,0,0,0,0,1.592356688,0.083333333
0.4396,0.2,0,1,0,1,0,1,0,1,0,0,0,0,0.454959054,0.25
0.2826,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.353857042,0
0.2826,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.353857042,0
0.5,0.6,0,1,0,1,0,1,0,0,0,0,0,0,1.2,0.083333333
1,0.6,0,1,0,1,0,0,0,0,0,0,0,0,0.6,0
0.314,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
0.157,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.910828025,0
0.6,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0.833333333,0
0.6908,1,0,1,0,1,0,1,0,0,0,0,0,0,1.447596989,0.083333333
0.1884,0.05,0,0,0,1,0,1,0,0,0,0,0,0,0.265392781,0.083333333
0.628,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0.398089172,0
0.314,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1.592356688,0
0.4396,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.454959054,0
0.5,0.8,0,1,0,1,1,1,0,0,1,0,0,0,1.6,0.333333333
0.4396,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1.137397634,0
0.2512,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.194267516,0
0.5024,0.1,0,1,0,1,1,1,0,1,1,0,0,0,0.199044586,0.5
0.4396,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.227479527,0
0.5024,0.2,0,1,0,1,1,0,0,0,0,0,0,0,0.398089172,0.083333333
0.5,0.3,0,1,0,1,0,0,0,0,0,0,0,0,0.6,0
0.0628,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0.796178344,0
0.4396,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.454959054,0
0.3768,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.530785563,0
0.1256,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.0628,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.1884,0.3,0,1,0,1,0,1,0,0,1,0,0,0,1.592356688,0.25
0.1884,0.5,0,0,0,1,1,0,0,0,0,0,0,0,2.653927813,0.083333333
0.314,0.6,0,1,0,1,0,1,0,0,0,0,0,0,1.910828025,0.083333333
0.2512,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.314,0.8,0,1,0,0,0,0,0,0,0,0,0,0,2.547770701,0
0.3768,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.265392781,0
0.628,0.7,0,0,0,1,0,1,0,0,1,0,0,0,1.114649682,0.25
0.0628,0.15,0,1,0,0,0,0,0,0,0,0,0,0,2.388535032,0
0.628,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0.796178344,0
0.55,2,0,0,0,1,0,0,0,0,0,0,0,1,3.636363636,0.083333333
1,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0.083333333
0.8164,1,0,0,0,1,1,1,0,1,0,0,0,0,1.22488976,0.333333333
0.1256,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.592356688,0
0.1884,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1.592356688,0
0.5024,1,0,0,0,1,1,1,0,1,1,0,0,0,1.99044586,0.5
0.1884,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.061571125,0
0.3768,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1.326963907,0
0.1884,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.530785563,0
0.628,0.2,0,0,0,1,0,1,0,0,1,0,0,0,0.318471338,0.25
0.3768,0.1,0,1,0,1,0,1,0,0,0,0,0,0,0.265392781,0.083333333
0.314,0.4,0,1,0,1,0,0,0,0,0,0,0,0,1.27388535,0
0.5024,0.4,0,1,0,1,0,1,0,1,0,0,0,0,0.796178344,0.25
0.3768,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.265392781,0
0.2512,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.199044586,0
0.1256,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.0628,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
1,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0.5,0.083333333
0.0942,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0.8492569,0
0.0628,0.1,0,1,0,0,0,0,0,0,0,0,0,0,1.592356688,0
0.6908,2,0,1,0,1,0,1,0,1,1,0,0,0,2.895193978,0.416666667
0.7536,1,0,1,0,1,0,0,0,0,0,0,0,0,1.326963907,0
0.1884,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.3768,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.326963907,0
0.314,0.3,0,0,0,1,0,1,0,0,1,0,0,0,0.955414013,0.25
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0.1256,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.2512,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.1884,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.592356688,0
0.1256,0.15,0,1,0,0,0,0,0,0,0,0,0,0,1.194267516,0
1,0.8,0,1,0,1,0,1,0,0,0,0,0,0,0.8,0.083333333
0.1256,0.15,0,1,0,1,0,0,0,0,0,0,0,0,1.194267516,0
0.3768,0.4,0,0,0,1,1,0,0,0,0,0,0,0,1.061571125,0.083333333
0.2512,0.1,0,1,0,1,1,0,0,0,1,0,0,0,0.398089172,0.25
0.5652,1,0,1,0,1,0,1,0,0,0,0,0,0,1.769285209,0.083333333
0.628,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0.796178344,0.083333333
0.785,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0.25477707,0
0.2512,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.99044586,0
1,2,0,0,0,1,1,1,0,0,1,1,0,0,2,0.333333333
1,0.1,0,0,0,1,0,1,0,0,0,0,0,0,0.1,0.083333333
0.0628,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.1256,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.592356688,0
0.628,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0.796178344,0.083333333
0.628,1.8,0,0,0,1,1,1,0,0,0,0,0,0,2.866242038,0.166666667
0.2512,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.597133758,0
0.628,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0.318471338,0
0.6908,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0.289519398,0
0.3768,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0.796178344,0
0.5,0.5,0,1,0,1,1,0,0,0,0,0,0,0,1,0.083333333
0.314,0.2,0,1,0,1,0,1,0,1,0,0,0,0,0.636942675,0.25
0.0628,0.1,0,1,0,0,0,0,0,0,0,0,0,0,1.592356688,0
0.2826,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.707714084,0
0.314,0.1,0,1,0,1,0,0,0,0,0,1,0,0,0.318471338,0
0.5,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0
0.1256,0.08,0,1,0,0,0,0,0,0,0,1,0,0,0.636942675,0
0.1884,0.2,0,1,0,0,0,0,0,0,0,1,0,0,1.061571125,0
0.0628,0.06,0,1,0,0,0,0,0,0,0,1,0,0,0.955414013,0
0.5024,1,0,1,0,1,1,1,0,0,0,1,0,0,1.99044586,0.166666667
0.5,0.3,0,0,0,1,1,1,0,1,1,1,0,0,0.6,0.5
0.628,0.3,0,0,0,1,1,0,0,0,0,1,0,0,0.477707006,0.083333333
0.2512,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.314,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.636942675,0
0.5,0.2,0,0,0,1,1,0,0,1,0,1,0,0,0.4,0.25
0.2512,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0.083333333
0.2512,0.2,0,0,0,1,1,1,0,0,0,0,0,0,0.796178344,0.166666667
1,0.5,0,1,0,1,1,1,0,0,0,1,0,0,0.5,0.166666667
0.4396,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0.909918107,0
0.314,0.5,0,1,0,1,1,0,0,0,0,1,0,0,1.592356688,0.083333333
0.5652,0.4,0,0,0,1,0,0,0,0,0,1,0,0,0.707714084,0
0.5024,0.5,0,0,0,1,0,1,0,1,1,1,0,0,0.99522293,0.416666667
2,2,0,0,0,1,1,1,0,1,1,0,0,0,1,0.5
0.942,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0.636942675,0.166666667
0.628,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0.318471338,0
0.0942,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.530785563,0
0.5024,0.3,0,1,0,1,1,0,0,0,0,1,0,0,0.597133758,0.083333333
0.1256,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.398089172,0
0.1256,0.2,0,1,0,0,0,0,0,0,0,1,0,0,1.592356688,0
0.0314,0.15,0,1,0,0,0,0,0,0,0,1,0,0,4.777070064,0
0.5,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0.5,0
0.1884,0.25,0,1,0,1,1,1,0,0,0,1,0,0,1.326963907,0.166666667
0.314,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0.955414013,0
0.4296,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0.698324022,0
0.5,0.4,0,1,0,1,1,1,0,0,0,1,0,0,0.8,0.166666667
0.1256,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.628,0.3,0,0,0,1,1,1,0,0,0,1,0,0,0.477707006,0.166666667
1,0.3,0,1,0,1,0,1,0,0,0,0,1,0,0.3,0.25
0.628,0.35,0,1,0,1,0,0,0,0,0,1,0,0,0.557324841,0
0.1884,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.3,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.666666667,0
0.2512,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0.796178344,0
0.4,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0.75,0
0.505,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0.99009901,0
0.3768,0.3,0,1,0,1,1,0,0,0,0,0,0,0,0.796178344,0.083333333
0.314,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0.796178344,0
0.1884,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0.530785563,0
0.1884,0.2,0,0,0,0,0,0,0,0,0,1,0,0,1.061571125,0
0.1256,0.15,0,1,0,0,0,0,0,0,0,1,0,0,1.194267516,0
0.36,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0
0.1256,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.22,0.35,0,1,0,0,0,0,0,0,0,0,0,0,1.590909091,0
0.0628,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.1884,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.3768,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.530785563,0
0.44,0.25,0,0,0,1,0,1,0,0,0,0,0,0,0.568181818,0.083333333
0.06,0.1,0,1,0,1,1,1,0,0,1,0,0,0,1.666666667,0.333333333
0.1884,0.2,0,1,0,0,0,0,0,0,0,1,0,0,1.061571125,0
0.0628,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.5,0.1,0,1,0,1,0,1,0,0,0,0,0,0,0.2,0.083333333
1,0.5,0,0,0,1,0,1,0,1,1,0,0,0,0.5,0.416666667
0.0942,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.530785563,0
0.0628,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.1256,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.0628,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.88,0.3,0,1,0,1,0,1,0,0,0,1,0,0,0.340909091,0.083333333
0.0628,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
0.3768,0.4,0,1,0,0,0,0,0,0,0,0,0,0,1.061571125,0
0.6,0.3,0,1,0,1,0,1,0,0,0,1,0,0,0.5,0.083333333
0.0628,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.0128,0.04,0,1,0,0,0,0,0,0,0,0,0,0,3.125,0
0.16,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0.625,0
0.0628,0.045,0,1,0,0,0,0,0,0,0,0,0,0,0.71656051,0
0.03,0.05,0,1,0,0,0,0,0,0,0,0,0,0,1.666666667,0
0.5,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0.6,0
0.55,0.1,0,1,0,1,0,0,0,0,0,1,0,0,0.181818182,0
