ID,Superficie,Produccion,Riego,Autoconsumo,Venta,Semilla_criolla,Semilla_mejorada,Fertilizantes,Animales_tiro,Herbicidas,Insecticidas_fungicidas,Indigena,Tractor,Otra_maquinaria,Rendimiento,Indice
P174,0.157,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0.477707006,0
P175,0.1884,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P176,0.628,0.8,0,1,0,1,0,1,0,0,0,0,0,0,1.27388535,0.083333333
P177,0.2512,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.597133758,0
P178,0.1884,0.2,0,1,0,0,0,0,0,0,0,0,0,0,1.061571125,0
P179,0.314,0.5,0,1,0,1,0,1,0,0,0,0,0,0,1.592356688,0.083333333
P180,0.4396,0.2,0,1,0,1,0,1,0,1,0,0,0,0,0.454959054,0.25
P181,0.2826,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.353857042,0
P182,0.2826,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.353857042,0
P183,0.5,0.6,0,1,0,1,0,1,0,0,0,0,0,0,1.2,0.083333333
P184,1,0.6,0,1,0,1,0,0,0,0,0,0,0,0,0.6,0
P185,0.314,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
P186,0.157,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.910828025,0
P187,0.6,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0.833333333,0
P188,0.6908,1,0,1,0,1,0,1,0,0,0,0,0,0,1.447596989,0.083333333
P189,0.1884,0.05,0,0,0,1,0,1,0,0,0,0,0,0,0.265392781,0.083333333
P190,0.628,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0.398089172,0
P191,0.314,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1.592356688,0
P192,0.4396,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.454959054,0
P193,0.5,0.8,0,1,0,1,1,1,0,0,1,0,0,0,1.6,0.333333333
P194,0.4396,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1.137397634,0
P195,0.2512,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.194267516,0
P196,0.5024,0.1,0,1,0,1,1,1,0,1,1,0,0,0,0.199044586,0.5
P197,0.4396,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.227479527,0
P198,0.5024,0.2,0,1,0,1,1,0,0,0,0,0,0,0,0.398089172,0.083333333
P199,0.5,0.3,0,1,0,1,0,0,0,0,0,0,0,0,0.6,0
P200,0.0628,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0.796178344,0
P201,0.4396,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.454959054,0
P202,0.3768,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.530785563,0
P203,0.1256,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P204,0.0628,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P205,0.1884,0.3,0,1,0,1,0,1,0,0,1,0,0,0,1.592356688,0.25
P206,0.1884,0.5,0,0,0,1,1,0,0,0,0,0,0,0,2.653927813,0.083333333
P207,0.314,0.6,0,1,0,1,0,1,0,0,0,0,0,0,1.910828025,0.083333333
P208,0.2512,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P209,0.314,0.8,0,1,0,0,0,0,0,0,0,0,0,0,2.547770701,0
P210,0.3768,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.265392781,0
P211,0.628,0.7,0,0,0,1,0,1,0,0,1,0,0,0,1.114649682,0.25
P212,0.0628,0.15,0,1,0,0,0,0,0,0,0,0,0,0,2.388535032,0
P213,0.628,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0.796178344,0
P214,0.55,2,0,0,0,1,0,0,0,0,0,0,0,1,3.636363636,0.083333333
P215,1,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0.083333333
P216,0.8164,1,0,0,0,1,1,1,0,1,0,0,0,0,1.22488976,0.333333333
P217,0.1256,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.592356688,0
P218,0.1884,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1.592356688,0
P219,0.5024,1,0,0,0,1,1,1,0,1,1,0,0,0,1.99044586,0.5
P220,0.1884,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.061571125,0
P221,0.3768,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1.326963907,0
P222,0.1884,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.530785563,0
P223,0.628,0.2,0,0,0,1,0,1,0,0,1,0,0,0,0.318471338,0.25
P224,0.3768,0.1,0,1,0,1,0,1,0,0,0,0,0,0,0.265392781,0.083333333
P225,0.314,0.4,0,1,0,1,0,0,0,0,0,0,0,0,1.27388535,0
P226,0.5024,0.4,0,1,0,1,0,1,0,1,0,0,0,0,0.796178344,0.25
P227,0.3768,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.265392781,0
P228,0.2512,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.199044586,0
P229,0.1256,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P230,0.0628,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P231,1,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0.5,0.083333333
P232,0.0942,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0.8492569,0
P233,0.0628,0.1,0,1,0,0,0,0,0,0,0,0,0,0,1.592356688,0
P234,0.6908,2,0,1,0,1,0,1,0,1,1,0,0,0,2.895193978,0.416666667
P235,0.7536,1,0,1,0,1,0,0,0,0,0,0,0,0,1.326963907,0
P236,0.1884,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P237,0.3768,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.326963907,0
P238,0.314,0.3,0,0,0,1,0,1,0,0,1,0,0,0,0.955414013,0.25
P239,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
P240,0.1256,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P241,0.2512,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P242,0.1884,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.592356688,0
P243,0.1256,0.15,0,1,0,0,0,0,0,0,0,0,0,0,1.194267516,0
P244,1,0.8,0,1,0,1,0,1,0,0,0,0,0,0,0.8,0.083333333
P245,0.1256,0.15,0,1,0,1,0,0,0,0,0,0,0,0,1.194267516,0
P246,0.3768,0.4,0,0,0,1,1,0,0,0,0,0,0,0,1.061571125,0.083333333
P247,0.2512,0.1,0,1,0,1,1,0,0,0,1,0,0,0,0.398089172,0.25
P248,0.5652,1,0,1,0,1,0,1,0,0,0,0,0,0,1.769285209,0.083333333
P249,0.628,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0.796178344,0.083333333
P250,0.785,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0.25477707,0
P251,0.2512,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.99044586,0
P252,1,2,0,0,0,1,1,1,0,0,1,1,0,0,2,0.333333333
P253,1,0.1,0,0,0,1,0,1,0,0,0,0,0,0,0.1,0.083333333
P254,0.0628,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P255,0.1256,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.592356688,0
P256,0.628,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0.796178344,0.083333333
P257,0.628,1.8,0,0,0,1,1,1,0,0,0,0,0,0,2.866242038,0.166666667
P258,0.2512,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.597133758,0
P259,0.628,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0.318471338,0
P260,0.6908,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0.289519398,0
P261,0.3768,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0.796178344,0
P262,0.5,0.5,0,1,0,1,1,0,0,0,0,0,0,0,1,0.083333333
P263,0.314,0.2,0,1,0,1,0,1,0,1,0,0,0,0,0.636942675,0.25
P264,0.0628,0.1,0,1,0,0,0,0,0,0,0,0,0,0,1.592356688,0
P265,0.2826,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.707714084,0
P266,0.314,0.1,0,1,0,1,0,0,0,0,0,1,0,0,0.318471338,0
P267,0.5,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0
P268,0.1256,0.08,0,1,0,0,0,0,0,0,0,1,0,0,0.636942675,0
P269,0.1884,0.2,0,1,0,0,0,0,0,0,0,1,0,0,1.061571125,0
P270,0.0628,0.06,0,1,0,0,0,0,0,0,0,1,0,0,0.955414013,0
P271,0.5024,1,0,1,0,1,1,1,0,0,0,1,0,0,1.99044586,0.166666667
P272,0.5,0.3,0,0,0,1,1,1,0,1,1,1,0,0,0.6,0.5
P273,0.628,0.3,0,0,0,1,1,0,0,0,0,1,0,0,0.477707006,0.083333333
P274,0.2512,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0.796178344,0
P275,0.314,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.636942675,0
P276,0.5,0.2,0,0,0,1,1,0,0,1,0,1,0,0,0.4,0.25
P277,0.2512,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
P278,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0.083333333
P279,0.2512,0.2,0,0,0,1,1,1,0,0,0,0,0,0,0.796178344,0.166666667
P280,1,0.5,0,1,0,1,1,1,0,0,0,1,0,0,0.5,0.166666667
P281,0.4396,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0.909918107,0
P282,0.314,0.5,0,1,0,1,1,0,0,0,0,1,0,0,1.592356688,0.083333333
P283,0.5652,0.4,0,0,0,1,0,0,0,0,0,1,0,0,0.707714084,0
P284,0.5024,0.5,0,0,0,1,0,1,0,1,1,1,0,0,0.99522293,0.416666667
P285,2,2,0,0,0,1,1,1,0,1,1,0,0,0,1,0.5
P286,0.942,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0.636942675,0.166666667
P287,0.628,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0.318471338,0
P288,0.0942,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.530785563,0
P289,0.5024,0.3,0,1,0,1,1,0,0,0,0,1,0,0,0.597133758,0.083333333
P290,0.1256,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.398089172,0
P291,0.1256,0.2,0,1,0,0,0,0,0,0,0,1,0,0,1.592356688,0
P292,0.0314,0.15,0,1,0,0,0,0,0,0,0,1,0,0,4.777070064,0
P293,0.5,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0.5,0
P294,0.1884,0.25,0,1,0,1,1,1,0,0,0,1,0,0,1.326963907,0.166666667
P295,0.314,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0.955414013,0
P296,0.4296,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0.698324022,0
P297,0.5,0.4,0,1,0,1,1,1,0,0,0,1,0,0,0.8,0.166666667
P298,0.1256,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
P299,0.628,0.3,0,0,0,1,1,1,0,0,0,1,0,0,0.477707006,0.166666667
P300,1,0.3,0,1,0,1,0,1,0,0,0,0,1,0,0.3,0.25
P301,0.628,0.35,0,1,0,1,0,0,0,0,0,1,0,0,0.557324841,0
P302,0.1884,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0.796178344,0
P303,0.3,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.666666667,0
P304,0.2512,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0.796178344,0
P305,0.4,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0.75,0
P306,0.505,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0.99009901,0
P307,0.3768,0.3,0,1,0,1,1,0,0,0,0,0,0,0,0.796178344,0.083333333
P308,0.314,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0.796178344,0
P309,0.1884,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0.530785563,0
P310,0.1884,0.2,0,0,0,0,0,0,0,0,0,1,0,0,1.061571125,0
P311,0.1256,0.15,0,1,0,0,0,0,0,0,0,1,0,0,1.194267516,0
P312,0.36,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0
P313,0.1256,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
P314,0.22,0.35,0,1,0,0,0,0,0,0,0,0,0,0,1.590909091,0
P315,0.0628,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0.796178344,0
P316,0.1884,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P317,0.3768,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.530785563,0
P318,0.44,0.25,0,0,0,1,0,1,0,0,0,0,0,0,0.568181818,0.083333333
P319,0.06,0.1,0,1,0,1,1,1,0,0,1,0,0,0,1.666666667,0.333333333
